"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,150,279,2,1049,3079,0.11,0.00,160,300,400,450,1000,1000,1000,1000,1000,1000,1000,1000
"POST","/",64,3,3400,3600,242,8419,10049,0.11,0.01,3500,4800,5500,6000,6900,7800,8300,8400,8400,8400,8400,8400
"GET","/analysis.html",13,0,100,335,12,1374,52059,0.02,0.00,100,390,440,790,810,1400,1400,1400,1400,1400,1400,1400
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",3,0,283000,192797,6737,288547,6914762,0.01,0.00,283000,283000,289000,289000,289000,289000,289000,289000,289000,289000,289000,289000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",8,0,288000,218406,2853,293421,3512018,0.01,0.00,290000,291000,291000,291000,293000,293000,293000,293000,293000,293000,293000,293000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,200391,206928,200391,213465,658134,0.00,0.00,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000,213000
"GET","/compare.html",8,0,170,469,28,1089,108023,0.01,0.00,570,850,850,850,1100,1100,1100,1100,1100,1100,1100,1100
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,7649,148840,7649,290030,13911284,0.00,0.00,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000,290000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",6,0,292000,246124,6025,297860,14042800,0.01,0.00,294000,294000,296000,296000,298000,298000,298000,298000,298000,298000,298000,298000
"GET","/measure.html",32,0,78,350,16,1462,46273,0.05,0.00,83,400,730,830,960,1200,1500,1500,1500,1500,1500,1500
"POST","/measureResults.html",32,0,285000,222295,2720,293737,2802302,0.05,0.00,285000,288000,289000,290000,291000,292000,294000,294000,294000,294000,294000,294000
"GET","/movers.html",15,0,67,372,7,1687,3745,0.03,0.00,67,190,790,870,900,1700,1700,1700,1700,1700,1700,1700
"POST","/moversResult.html",15,0,219000,175115,16028,242611,16031,0.03,0.00,219000,221000,228000,230000,242000,243000,243000,243000,243000,243000,243000,243000
"GET","/prediction.html",11,0,70,335,15,1116,40373,0.02,0.00,70,180,940,940,1100,1100,1100,1100,1100,1100,1100,1100
"POST","/predictionResult.html",11,0,315000,288415,16944,321226,325886,0.02,0.00,315000,317000,317000,317000,321000,321000,321000,321000,321000,321000,321000,321000
"None","Aggregated",286,3,1000,61900,2,321226,909430,0.48,0.01,1000,4300,7800,211000,289000,293000,315000,317000,321000,321000,321000,321000
