"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,1900,2147,137,5592,3079,0.21,0.00,1900,2400,2800,3000,3500,4700,5600,5600,5600,5600,5600,5600
"POST","/",128,0,3600,3770,690,9014,2524,0.21,0.00,3600,4200,4500,4900,6500,7400,8400,8600,9000,9000,9000,9000
"GET","/analysis.html",20,0,1000,1170,219,3828,52059,0.03,0.00,1100,1300,1400,1400,1700,3800,3800,3800,3800,3800,3800,3800
"GET","/compare.html",31,0,1100,1662,418,6829,108023,0.05,0.00,1100,1500,2400,2400,3300,3500,6800,6800,6800,6800,6800,6800
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,293859,293859,293859,293859,2422313,0.00,0.00,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000,294000
"GET","/measure.html",39,0,1200,1331,211,4000,46273,0.07,0.00,1200,1700,1900,1900,2500,3200,4000,4000,4000,4000,4000,4000
"POST","/measureResults.html",10,0,129000,168674,36915,348015,132957,0.02,0.00,202000,223000,240000,264000,348000,348000,348000,348000,348000,348000,348000,348000
"GET","/movers.html",27,0,1300,1614,223,4237,3745,0.05,0.00,1300,1600,1900,2500,3100,3200,4200,4200,4200,4200,4200,4200
"POST","/moversResult.html",10,0,517000,501270,362479,566800,16036,0.02,0.00,518000,522000,549000,552000,567000,567000,567000,567000,567000,567000,567000,567000
"GET","/prediction.html",17,0,820,1006,186,2876,40373,0.03,0.00,820,1100,1100,1100,2300,2900,2900,2900,2900,2900,2900,2900
"None","Aggregated",411,0,2100,19314,137,566800,28251,0.69,0.00,2100,3000,3600,4100,5600,37000,463000,518000,567000,567000,567000,567000
