"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",16,0,3,5,2,15,3079,0.03,0.00,4,6,7,7,8,15,15,15,15,15,15,15
"POST","/",16,0,730,780,204,1491,2524,0.03,0.00,860,1000,1100,1100,1400,1500,1500,1500,1500,1500,1500,1500
"GET","/analysis.html",3,0,19,24,14,40,52059,0.01,0.00,19,19,40,40,40,40,40,40,40,40,40,40
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,53680,53680,53680,53680,6914762,0.00,0.00,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000,54000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,54733,54733,54733,54733,3512018,0.00,0.00,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,54706,54706,54706,54706,658134,0.00,0.00,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
"GET","/compare.html",5,0,46,44,22,74,108023,0.01,0.00,46,51,51,74,74,74,74,74,74,74,74,74
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,6344,37564,6344,68783,13911284,0.00,0.00,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",3,0,11000,29008,6157,70352,14042800,0.01,0.00,11000,11000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
"GET","/measure.html",10,0,38,41,13,65,46273,0.02,0.00,54,56,62,64,65,65,65,65,65,65,65,65
"POST","/measureResults.html",10,0,42000,32961,2635,58324,2103104,0.02,0.00,47000,54000,55000,58000,58000,58000,58000,58000,58000,58000,58000,58000
"GET","/movers.html",4,0,43,39,4,59,3745,0.01,0.00,49,49,59,59,59,59,59,59,59,59,59,59
"POST","/moversResult.html",4,0,17000,18152,16499,20027,16016,0.01,0.00,19000,19000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"GET","/prediction.html",4,0,15,24,10,42,40373,0.01,0.00,28,28,42,42,42,42,42,42,42,42,42,42
"POST","/predictionResult.html",4,0,83000,66905,13506,85806,340568,0.01,0.00,85000,85000,86000,86000,86000,86000,86000,86000,86000,86000,86000,86000
"None","Aggregated",84,0,74,12007,2,85806,1249028,0.16,0.00,200,1100,6300,17000,55000,69000,85000,86000,86000,86000,86000,86000
