"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,15,21,3,49,3079,0.02,0.00,24,29,30,30,49,49,49,49,49,49,49,49
"POST","/",8,0,260,274,195,368,2524,0.02,0.00,290,300,330,330,370,370,370,370,370,370,370,370
"GET","/compare.html",1,0,26,26,26,26,108023,0.00,0.00,26,26,26,26,26,26,26,26,26,26,26,26
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,0,6323,6323,6323,6323,13911284,0.00,0.00,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300,6300
"GET","/measure.html",5,0,42,41,13,65,46273,0.01,0.00,42,57,57,65,65,65,65,65,65,65,65,65
"POST","/measureResults.html",5,0,24000,23361,16728,26682,2104662,0.01,0.00,24000,25000,25000,27000,27000,27000,27000,27000,27000,27000,27000,27000
"GET","/movers.html",2,0,43,47,43,50,3745,0.00,0.00,50,50,50,50,50,50,50,50,50,50,50,50
"POST","/moversResult.html",2,0,14180,18657,14180,23135,16015,0.00,0.00,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
"GET","/prediction.html",2,0,25,36,25,47,40373,0.00,0.00,47,47,47,47,47,47,47,47,47,47,47,47
"POST","/predictionResult.html",2,0,36474,36506,36474,36538,340518,0.00,0.00,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000
"None","Aggregated",36,0,65,6561,3,36538,711669,0.07,0.00,200,300,14000,17000,25000,36000,37000,37000,37000,37000,37000,37000
