"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,3200,3302,1304,7456,3079,0.21,0.00,3200,3600,3900,4300,4900,5800,6400,7100,7500,7500,7500,7500
"POST","/",128,52,10000,9473,1349,15380,67151,0.21,0.09,10000,12000,13000,13000,14000,14000,15000,15000,15000,15000,15000,15000
"GET","/analysis.html",18,0,3300,3499,912,10465,52059,0.03,0.00,3300,3400,3600,3600,7800,10000,10000,10000,10000,10000,10000,10000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,0,284000,249422,65239,398986,658134,0.01,0.00,284000,284000,399000,399000,399000,399000,399000,399000,399000,399000,399000,399000
"GET","/compare.html",31,0,2700,2973,134,7097,108023,0.05,0.00,2700,3300,3700,4200,5600,6300,7100,7100,7100,7100,7100,7100
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,1,7988,7988,7988,7988,121050,0.00,0.00,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000,8000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,1,7400,210040,7366,412715,1271502,0.00,0.00,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000,413000
"GET","/measure.html",40,0,3100,3566,975,9297,46273,0.07,0.00,3200,3700,4700,4700,6500,8300,9300,9300,9300,9300,9300,9300
"POST","/measureResults.html",10,1,334000,332378,6369,535928,131098,0.02,0.00,386000,395000,446000,449000,536000,536000,536000,536000,536000,536000,536000,536000
"GET","/movers.html",26,0,2700,3482,719,9470,3745,0.04,0.00,2700,4000,4700,4800,6000,7500,9500,9500,9500,9500,9500,9500
"POST","/moversResult.html",5,0,452000,439040,323760,558560,16032,0.01,0.00,452000,495000,495000,559000,559000,559000,559000,559000,559000,559000,559000,559000
"GET","/prediction.html",20,0,3500,3704,538,9877,40373,0.03,0.00,3800,4000,4300,4400,6300,9900,9900,9900,9900,9900,9900,9900
"POST","/predictionResult.html",1,1,6404,6404,6404,6404,117341,0.00,0.00,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400
"None","Aggregated",413,56,3900,21306,134,558560,53699,0.69,0.09,3900,6100,9000,10000,13000,15000,395000,449000,559000,559000,559000,559000
