"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,410,733,15,3471,3079,0.11,0.00,410,550,760,980,2400,2700,3300,3500,3500,3500,3500,3500
"POST","/",64,0,1700,2235,196,6136,2524,0.11,0.00,1700,2200,2800,4100,5100,6000,6100,6100,6100,6100,6100,6100
"GET","/analysis.html",7,0,450,857,41,2024,52059,0.01,0.00,450,1400,1500,1500,2000,2000,2000,2000,2000,2000,2000,2000
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,219476,245037,219476,270598,6914762,0.00,0.00,271000,271000,271000,271000,271000,271000,271000,271000,271000,271000,271000,271000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,220000,232911,215211,255432,3512018,0.01,0.00,241000,241000,255000,255000,255000,255000,255000,255000,255000,255000,255000,255000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,113645,113645,113645,113645,658134,0.00,0.00,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000
"GET","/compare.html",16,0,80,361,25,2253,108023,0.03,0.00,180,440,530,530,690,2300,2300,2300,2300,2300,2300,2300
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",8,0,230000,166089,5593,285090,13911284,0.01,0.00,252000,257000,279000,279000,285000,285000,285000,285000,285000,285000,285000,285000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",6,0,249000,178094,6637,289285,14042800,0.01,0.00,252000,252000,259000,259000,289000,289000,289000,289000,289000,289000,289000,289000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,195210,202688,195210,210167,2422313,0.00,0.00,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000,210000
"GET","/measure.html",27,0,300,672,15,2280,46273,0.05,0.00,300,490,1100,1300,2000,2300,2300,2300,2300,2300,2300,2300
"POST","/measureResults.html",27,0,209000,153210,2787,271421,2323283,0.05,0.00,209000,220000,248000,261000,265000,270000,271000,271000,271000,271000,271000,271000
"GET","/movers.html",18,0,300,502,5,1989,3745,0.03,0.00,320,410,480,800,1500,2000,2000,2000,2000,2000,2000,2000
"POST","/moversResult.html",17,0,191000,175673,15238,231219,16041,0.03,0.00,191000,213000,215000,215000,219000,231000,231000,231000,231000,231000,231000,231000
"GET","/prediction.html",13,0,210,680,11,2413,40373,0.02,0.00,210,450,730,1800,2300,2400,2400,2400,2400,2400,2400,2400
"POST","/predictionResult.html",12,0,271000,214134,8294,303677,343333,0.02,0.00,277000,279000,293000,293000,293000,304000,304000,304000,304000,304000,304000,304000
"None","Aggregated",288,0,1400,49543,5,303677,1042853,0.48,0.00,1400,2800,7400,131000,235000,265000,285000,293000,304000,304000,304000,304000
