"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",16,0,4,13,2,44,3079,0.03,0.00,4,15,27,27,31,44,44,44,44,44,44,44
"POST","/",16,0,270,294,192,442,2524,0.03,0.00,320,340,360,360,420,440,440,440,440,440,440,440
"GET","/analysis.html",4,0,20,25,12,46,52059,0.01,0.00,21,21,46,46,46,46,46,46,46,46,46,46
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,65403,65403,65403,65403,6914762,0.00,0.00,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",3,0,4000,16413,2796,42489,3512018,0.01,0.00,4000,4000,42000,42000,42000,42000,42000,42000,42000,42000,42000,42000
"GET","/compare.html",5,0,30,36,28,55,108023,0.01,0.00,30,37,37,55,55,55,55,55,55,55,55,55
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,7142,38458,7142,69774,13911284,0.00,0.00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,0,8238,8238,8238,8238,14042800,0.00,0.00,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200,8200
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,5627,37145,5627,68663,2422313,0.00,0.00,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000
"GET","/measure.html",6,0,36,41,12,61,46273,0.01,0.00,49,49,55,55,61,61,61,61,61,61,61,61
"POST","/measureResults.html",6,0,54000,48115,4130,65100,2324183,0.01,0.00,55000,55000,65000,65000,65000,65000,65000,65000,65000,65000,65000,65000
"GET","/movers.html",5,0,43,36,4,45,3745,0.01,0.00,43,43,43,45,45,45,45,45,45,45,45,45
"POST","/moversResult.html",5,0,47000,37361,14771,49504,16044,0.01,0.00,47000,48000,48000,50000,50000,50000,50000,50000,50000,50000,50000,50000
"GET","/prediction.html",4,0,9,27,8,58,40373,0.01,0.00,36,36,58,58,58,58,58,58,58,58,58,58
"POST","/predictionResult.html",4,0,89000,89669,88448,91905,328404,0.01,0.00,90000,90000,92000,92000,92000,92000,92000,92000,92000,92000,92000,92000
"None","Aggregated",80,0,61,13925,2,91905,1009945,0.13,0.00,190,360,7100,42000,65000,88000,90000,92000,92000,92000,92000,92000
