"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",4,0,4,7,3,15,3079,0.01,0.00,5,5,15,15,15,15,15,15,15,15,15,15
"POST","/",4,0,200,201,193,209,2524,0.01,0.00,200,200,210,210,210,210,210,210,210,210,210,210
"GET","/analysis.html",1,0,17,17,17,17,52059,0.00,0.00,17,17,17,17,17,17,17,17,17,17,17,17
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,15178,15178,15178,15178,3512018,0.00,0.00,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
"GET","/compare.html",1,0,28,28,28,28,108023,0.00,0.00,28,28,28,28,28,28,28,28,28,28,28,28
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,0,7762,7762,7762,7762,13911284,0.00,0.00,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
"GET","/measure.html",1,0,20,20,20,20,46273,0.00,0.00,20,20,20,20,20,20,20,20,20,20,20,20
"POST","/measureResults.html",1,0,3844,3844,3844,3844,3421790,0.00,0.00,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800
"GET","/prediction.html",4,0,12,26,8,61,40373,0.01,0.00,23,23,61,61,61,61,61,61,61,61,61,61
"POST","/predictionResult.html",4,0,32000,26428,7244,33830,339796,0.01,0.00,33000,33000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
"None","Aggregated",22,0,61,6068,3,33830,1027024,0.04,0.00,190,210,7200,7800,32000,33000,34000,34000,34000,34000,34000,34000
