"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,71,130,5,518,3079,0.06,0.00,78,140,190,210,350,410,520,520,520,520,520,520
"POST","/",32,0,570,688,194,1489,2524,0.06,0.00,590,850,1000,1100,1200,1500,1500,1500,1500,1500,1500,1500
"GET","/analysis.html",6,0,27,43,17,85,52059,0.01,0.00,51,51,62,62,85,85,85,85,85,85,85,85
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",5,0,50000,37628,4165,68083,6914762,0.01,0.00,50000,61000,61000,68000,68000,68000,68000,68000,68000,68000,68000,68000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,2869,2869,2869,2869,3512018,0.00,0.00,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900,2900
"GET","/compare.html",7,0,290,243,27,395,108023,0.01,0.00,290,330,350,350,400,400,400,400,400,400,400,400
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",4,0,113000,109423,98565,113519,13911284,0.01,0.00,113000,113000,114000,114000,114000,114000,114000,114000,114000,114000,114000,114000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,0,112000,76892,6049,112644,2422313,0.01,0.00,112000,112000,113000,113000,113000,113000,113000,113000,113000,113000,113000,113000
"GET","/measure.html",15,0,75,134,19,665,46273,0.03,0.00,75,100,110,240,320,670,670,670,670,670,670,670
"POST","/measureResults.html",15,0,79000,60880,2973,84725,1665536,0.03,0.00,79000,80000,81000,82000,85000,85000,85000,85000,85000,85000,85000,85000
"GET","/movers.html",16,0,47,71,4,231,3745,0.03,0.00,51,72,99,99,210,230,230,230,230,230,230,230
"POST","/moversResult.html",16,0,90000,70994,17003,117927,16042,0.03,0.00,91000,104000,113000,113000,115000,118000,118000,118000,118000,118000,118000,118000
"GET","/prediction.html",3,0,140,114,56,147,40373,0.01,0.00,140,140,150,150,150,150,150,150,150,150,150,150
"POST","/predictionResult.html",3,0,126000,87741,8658,128915,331196,0.01,0.00,126000,126000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000
"None","Aggregated",158,0,330,20274,4,128915,818697,0.28,0.00,340,1100,8700,39000,91000,113000,115000,126000,129000,129000,129000,129000
