"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,130,166,14,613,3079,0.06,0.00,130,190,250,280,370,460,610,610,610,610,610,610
"POST","/",32,0,690,783,198,1526,2524,0.06,0.00,770,960,1200,1200,1300,1500,1500,1500,1500,1500,1500,1500
"GET","/analysis.html",5,0,150,125,22,257,52059,0.01,0.00,150,170,170,260,260,260,260,260,260,260,260,260
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,76817,76817,76817,76817,6914762,0.00,0.00,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000,77000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",3,0,9400,30520,3474,78646,3512018,0.01,0.00,9400,9400,79000,79000,79000,79000,79000,79000,79000,79000,79000,79000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,77929,77929,77929,77929,658134,0.00,0.00,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000,78000
"GET","/compare.html",4,0,39,85,29,182,108023,0.01,0.00,90,90,180,180,180,180,180,180,180,180,180,180
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,7324,55241,7324,103159,13911284,0.00,0.00,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000,103000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",2,0,9700,54292,9660,98925,14042800,0.00,0.00,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
"GET","/measure.html",19,0,100,157,12,448,46273,0.03,0.00,100,180,210,290,450,450,450,450,450,450,450,450
"POST","/measureResults.html",19,0,66000,45255,2771,78566,2034814,0.03,0.00,66000,75000,76000,78000,78000,79000,79000,79000,79000,79000,79000,79000
"GET","/movers.html",12,0,55,144,4,376,3745,0.02,0.00,83,120,320,320,370,380,380,380,380,380,380,380
"POST","/moversResult.html",12,0,40000,49944,24618,74240,16039,0.02,0.00,45000,58000,72000,72000,72000,74000,74000,74000,74000,74000,74000,74000
"GET","/prediction.html",5,0,66,85,12,177,40373,0.01,0.00,66,110,110,180,180,180,180,180,180,180,180,180
"POST","/predictionResult.html",5,0,115000,96367,7449,125552,326580,0.01,0.00,115000,123000,123000,126000,126000,126000,126000,126000,126000,126000,126000,126000
"None","Aggregated",154,0,370,15863,4,125552,756504,0.27,0.00,380,1200,6100,37000,75000,79000,111000,123000,126000,126000,126000,126000
