"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,12,14,2,56,3079,0.06,0.00,13,17,20,21,30,40,56,56,56,56,56,56
"POST","/",32,0,540,758,223,2027,2524,0.06,0.00,550,1000,1200,1300,1400,1500,2000,2000,2000,2000,2000,2000
"GET","/analysis.html",3,0,15,21,12,34,52059,0.01,0.00,15,15,34,34,34,34,34,34,34,34,34,34
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,165000,165072,164761,165383,6914762,0.00,0.00,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000,165000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,162013,162013,162013,162013,3512018,0.00,0.00,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000,162000
"GET","/compare.html",6,0,28,34,20,59,108023,0.01,0.00,29,29,42,42,59,59,59,59,59,59,59,59
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,5700,7549,5692,9406,13911284,0.00,0.00,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",4,0,168000,168422,167703,169508,14042800,0.01,0.00,169000,169000,170000,170000,170000,170000,170000,170000,170000,170000,170000,170000
"GET","/measure.html",14,0,16,25,13,67,46273,0.02,0.00,19,24,26,27,66,67,67,67,67,67,67,67
"POST","/measureResults.html",14,0,111000,105413,3152,165565,2948583,0.02,0.00,164000,164000,165000,165000,165000,166000,166000,166000,166000,166000,166000,166000
"GET","/movers.html",8,0,47,47,43,51,3745,0.01,0.00,47,47,51,51,51,51,51,51,51,51,51,51
"POST","/moversResult.html",8,0,117000,88509,16748,131944,16044,0.01,0.00,119000,119000,131000,131000,132000,132000,132000,132000,132000,132000,132000,132000
"GET","/prediction.html",11,0,16,18,8,44,40373,0.02,0.00,16,20,23,23,25,44,44,44,44,44,44,44
"POST","/predictionResult.html",11,0,197000,181441,8970,204670,334181,0.02,0.00,197000,200000,202000,202000,203000,205000,205000,205000,205000,205000,205000,205000
"None","Aggregated",148,0,67,36396,2,204670,1003549,0.26,0.00,220,1200,9000,111000,166000,195000,202000,203000,205000,205000,205000,205000
