"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",4,0,6,11,6,19,3079,0.20,0.00,15,15,19,19,19,19,19,19,19,19,19,19
"POST","/",4,0,200,210,197,245,2524,0.20,0.00,200,200,250,250,250,250,250,250,250,250,250,250
"GET","/compare.html",3,0,26,28,25,34,108023,0.15,0.00,26,26,34,34,34,34,34,34,34,34,34,34
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,15453,16753,15453,18054,13911284,0.10,0.00,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,0,17584,17584,17584,17584,14042800,0.05,0.00,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"GET","/movers.html",1,0,47,47,47,47,3745,0.05,0.00,47,47,47,47,47,47,47,47,47,47,47,47
"POST","/moversResult.html",1,0,14147,14147,14147,14147,16069,0.05,0.00,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
"None","Aggregated",16,0,47,4141,6,18054,2639478,0.81,0.00,200,200,14000,14000,18000,18000,18000,18000,18000,18000,18000,18000
