"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,22,38,12,94,3079,0.01,0.00,23,59,63,63,94,94,94,94,94,94,94,94
"POST","/",8,0,290,354,196,492,2524,0.01,0.00,360,460,490,490,490,490,490,490,490,490,490,490
"GET","/analysis.html",3,0,31,56,23,114,52059,0.01,0.00,31,31,110,110,110,110,110,110,110,110,110,110
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,22462,22462,22462,22462,6914762,0.00,0.00,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,0,12000,17378,11522,23235,3512018,0.00,0.00,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000,23000
"GET","/compare.html",4,0,30,53,22,102,108023,0.01,0.00,59,59,100,100,100,100,100,100,100,100,100,100
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,5648,18451,5648,31255,13911284,0.00,0.00,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000,31000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",2,0,26276,28926,26276,31575,14042800,0.00,0.00,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
"GET","/movers.html",4,0,47,50,47,59,3745,0.01,0.00,48,48,59,59,59,59,59,59,59,59,59,59
"POST","/moversResult.html",4,0,16000,17646,15808,20195,16041,0.01,0.00,18000,18000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
"GET","/prediction.html",1,0,36,36,36,36,40373,0.00,0.00,36,36,36,36,36,36,36,36,36,36,36,36
"POST","/predictionResult.html",1,0,35735,35735,35735,35735,316264,0.00,0.00,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000,36000
"None","Aggregated",40,0,110,6551,12,35735,1772896,0.07,0.00,200,490,16000,18000,26000,32000,36000,36000,36000,36000,36000,36000
