"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",256,0,1700,2244,195,8409,3079,0.43,0.00,1700,2400,3100,3700,4900,5800,7500,8000,8400,8400,8400,8400
"POST","/",256,0,2300,2918,657,12135,2524,0.43,0.00,2400,2900,3600,4100,5500,7200,9000,9300,12000,12000,12000,12000
"GET","/analysis.html",38,0,960,1376,134,7209,52059,0.06,0.00,980,1200,1500,1700,2600,6700,7200,7200,7200,7200,7200,7200
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,201631,201631,201631,201631,658134,0.00,0.00,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000,202000
"GET","/compare.html",52,0,830,1276,332,4666,108023,0.09,0.00,850,1200,1300,1900,2500,4300,4600,4700,4700,4700,4700,4700
"GET","/measure.html",71,0,870,1211,168,6581,46273,0.12,0.00,870,1200,1600,1700,2400,4400,5200,6600,6600,6600,6600,6600
"POST","/measureResults.html",9,0,242000,261604,164170,480456,132916,0.02,0.00,242000,256000,312000,354000,480000,480000,480000,480000,480000,480000,480000,480000
"GET","/movers.html",62,0,800,1195,115,5543,3745,0.10,0.00,820,1100,1200,1900,2500,3000,5100,5500,5500,5500,5500,5500
"GET","/prediction.html",35,0,980,1160,124,6303,40373,0.06,0.00,980,1300,1400,1500,1800,4700,6300,6300,6300,6300,6300,6300
"None","Aggregated",780,0,1600,5381,115,480456,20275,1.31,0.00,1600,2300,2800,3400,4900,6600,9000,184000,480000,480000,480000,480000
