"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",4,0,14,13,7,16,3079,0.01,0.00,15,15,16,16,16,16,16,16,16,16,16,16
"POST","/",4,0,200,251,197,362,2524,0.01,0.00,250,250,360,360,360,360,360,360,360,360,360,360
"GET","/compare.html",1,0,33,33,33,33,108023,0.00,0.00,33,33,33,33,33,33,33,33,33,33,33,33
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,0,10629,10629,10629,10629,13911284,0.00,0.00,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
"GET","/measure.html",3,0,22,30,13,54,46273,0.01,0.00,22,22,54,54,54,54,54,54,54,54,54,54
"POST","/measureResults.html",3,0,4600,4691,2765,6672,3417178,0.01,0.00,4600,4600,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700
"GET","/movers.html",2,0,47,48,47,49,3745,0.01,0.00,49,49,49,49,49,49,49,49,49,49,49,49
"POST","/moversResult.html",2,0,14000,13969,13723,14214,16069,0.01,0.00,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000,14000
"None","Aggregated",20,0,54,2696,7,14214,1223585,0.06,0.00,200,360,4600,6700,14000,14000,14000,14000,14000,14000,14000,14000
