"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,1100,1986,21,9189,3079,0.21,0.00,1200,2200,3100,3900,5100,6500,7700,7700,9200,9200,9200,9200
"POST","/",128,0,3100,4482,374,17189,2524,0.21,0.00,3100,5100,7000,8100,10000,12000,15000,16000,17000,17000,17000,17000
"GET","/analysis.html",18,0,1300,1902,29,4913,52059,0.03,0.00,1600,2400,3100,3800,4800,4900,4900,4900,4900,4900,4900,4900
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",1,0,488334,488334,488334,488334,3512018,0.00,0.00,488000,488000,488000,488000,488000,488000,488000,488000,488000,488000,488000,488000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,291097,291097,291097,291097,658134,0.00,0.00,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000,291000
"GET","/compare.html",30,0,890,1595,64,7491,108023,0.05,0.00,1100,1900,2500,3000,3600,4100,7500,7500,7500,7500,7500,7500
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,353000,362038,352612,371464,2422313,0.00,0.00,371000,371000,371000,371000,371000,371000,371000,371000,371000,371000,371000,371000
"GET","/measure.html",39,0,1600,1729,31,4967,46273,0.07,0.00,1600,2200,2600,2800,3800,4000,5000,5000,5000,5000,5000,5000
"POST","/measureResults.html",16,0,224000,223323,86918,359616,132980,0.03,0.00,246000,249000,283000,283000,316000,360000,360000,360000,360000,360000,360000,360000
"GET","/movers.html",29,0,1400,1578,55,3606,3745,0.05,0.00,1400,2100,2300,3100,3400,3600,3600,3600,3600,3600,3600,3600
"POST","/moversResult.html",27,0,423000,425898,175218,566911,16034,0.05,0.00,423000,467000,513000,523000,542000,558000,567000,567000,567000,567000,567000,567000
"GET","/prediction.html",22,0,800,1141,34,3779,40373,0.04,0.00,1000,1400,1600,2200,3000,3200,3800,3800,3800,3800,3800,3800
"None","Aggregated",441,0,2100,39964,21,566911,43700,0.74,0.00,2100,3500,4900,6600,128000,371000,488000,525000,567000,567000,567000,567000
