"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",256,121,7900,8030,1,23475,2265,0.43,0.20,7900,11000,13000,14000,18000,19000,21000,22000,23000,23000,23000,23000
"POST","/",135,61,13000,12817,1385,25428,2954,0.23,0.10,13000,15000,16000,17000,19000,21000,24000,25000,25000,25000,25000,25000
"GET","/analysis.html",23,16,1100,3549,2,13884,15844,0.04,0.03,1100,5000,5100,8000,8600,14000,14000,14000,14000,14000,14000,14000
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",3,3,14000,12619,7583,16273,0,0.01,0.01,14000,14000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",3,3,13000,13567,11589,16364,0,0.01,0.01,13000,13000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,1,13338,13338,13338,13338,0,0.00,0.00,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
"GET","/compare.html",43,37,50,2320,2,13564,15072,0.07,0.06,50,160,5200,7300,8300,9800,14000,14000,14000,14000,14000,14000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,2,7100,7573,7070,8076,0,0.00,0.00,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100,8100
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",3,3,9363,9111,8618,9363,0,0.01,0.01,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400,9400
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,1,10664,10664,10664,10664,0,0.00,0.00,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
"GET","/measure.html",69,61,71,2302,0,13943,7583,0.12,0.10,71,160,3900,5800,9200,11000,12000,14000,14000,14000,14000,14000
"POST","/measureResults.html",8,8,12000,11676,7735,16605,0,0.01,0.01,13000,13000,14000,14000,17000,17000,17000,17000,17000,17000,17000,17000
"GET","/movers.html",47,35,150,3291,1,14373,956,0.08,0.06,150,4300,6700,7900,10000,13000,14000,14000,14000,14000,14000,14000
"POST","/moversResult.html",12,12,8300,10883,6758,16806,0,0.02,0.02,12000,12000,15000,15000,15000,17000,17000,17000,17000,17000,17000,17000
"GET","/prediction.html",23,18,46,2373,1,10967,8776,0.04,0.03,46,3500,5900,6100,7400,8200,11000,11000,11000,11000,11000,11000
"POST","/predictionResult.html",5,5,10000,9658,7781,11250,0,0.01,0.01,10000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
"None","Aggregated",634,387,7600,7497,0,25428,4355,1.07,0.65,7600,10000,13000,14000,17000,19000,21000,22000,25000,25000,25000,25000
